userId,itemId,rank,explanations
0.0,366.0,1.0,"{'item': 13     438
7      550
18    1006
9      632
0      528
16     947
31     321
12     363
19     179
24     512
Name: item, dtype: int64, 'contribution': 13    0.359778
7     0.202621
18    0.197050
9     0.192015
0     0.180575
16    0.159391
31    0.135898
12    0.131240
19    0.126638
24    0.091957
Name: contribution, dtype: float64}"
0.0,33.0,2.0,"{'item': 9     632
19    179
0     528
1     377
34    521
21    487
27    656
28    221
24    512
7     550
Name: item, dtype: int64, 'contribution': 9     0.351829
19    0.276438
0     0.272172
1     0.228168
34    0.197654
21    0.179783
27    0.162251
28    0.105414
24    0.094051
7     0.089294
Name: contribution, dtype: float64}"
0.0,148.0,3.0,"{'item': 2      522
22     665
24     512
1      377
9      632
30     365
18    1006
26     672
20     751
31     321
Name: item, dtype: int64, 'contribution': 2     0.519513
22    0.298086
24    0.249501
1     0.208956
9     0.200570
30    0.123726
18    0.121309
26    0.115498
20    0.112647
31    0.094077
Name: contribution, dtype: float64}"
0.0,247.0,4.0,"{'item': 19    179
6     329
7     550
12    363
22    665
3     431
28    221
31    321
33    302
23     92
Name: item, dtype: int64, 'contribution': 19    0.251064
6     0.240873
7     0.231573
12    0.219984
22    0.198897
3     0.192859
28    0.162083
31    0.124132
33    0.122441
23    0.121553
Name: contribution, dtype: float64}"
0.0,133.0,5.0,"{'item': 24    512
23     92
33    302
2     522
12    363
7     550
13    438
29    432
28    221
22    665
Name: item, dtype: int64, 'contribution': 24    0.541825
23    0.336672
33    0.237185
2     0.176114
12    0.109982
7     0.082898
13    0.075284
29    0.058904
28    0.055257
22    0.051407
Name: contribution, dtype: float64}"
0.0,68.0,6.0,"{'item': 34    521
2     522
19    179
30    365
10     86
7     550
8      83
14    389
0     528
11    289
Name: item, dtype: int64, 'contribution': 34    0.481416
2     0.360633
19    0.293723
30    0.280623
10    0.271391
7     0.238565
8     0.229363
14    0.173723
0     0.147178
11    0.107814
Name: contribution, dtype: float64}"
0.0,491.0,7.0,"{'item': 2     522
5     380
30    365
12    363
32    466
20    751
11    289
22    665
6     329
23     92
Name: item, dtype: int64, 'contribution': 2     0.530449
5     0.467645
30    0.419467
12    0.312698
32    0.279741
20    0.221213
11    0.200277
22    0.189869
6     0.187406
23    0.153005
Name: contribution, dtype: float64}"
0.0,367.0,8.0,"{'item': 19     179
6      329
3      431
12     363
16     947
10      86
31     321
34     521
22     665
25    1045
Name: item, dtype: int64, 'contribution': 19    0.281347
6     0.214398
3     0.211297
12    0.198930
16    0.188091
10    0.161884
31    0.161447
34    0.150691
22    0.149306
25    0.149004
Name: contribution, dtype: float64}"
0.0,226.0,9.0,"{'item': 4     834
23     92
19    179
8      83
3     431
26    672
14    389
20    751
16    947
7     550
Name: item, dtype: int64, 'contribution': 4     0.334114
23    0.285555
19    0.269842
8     0.248013
3     0.209556
26    0.152184
14    0.126448
20    0.125476
16    0.089378
7     0.075810
Name: contribution, dtype: float64}"
0.0,404.0,10.0,"{'item': 18    1006
5      380
15     649
21     487
28     221
20     751
30     365
0      528
23      92
2      522
Name: item, dtype: int64, 'contribution': 18    0.461413
5     0.302871
15    0.272363
21    0.221825
28    0.198181
20    0.196828
30    0.193388
0     0.187600
23    0.176580
2     0.143706
Name: contribution, dtype: float64}"
1.0,141.0,1.0,"{'item': 71    399
26     43
11    970
47    228
14    527
65    572
1     476
25    140
2     305
58    783
Name: item, dtype: int64, 'contribution': 71    0.380922
26    0.375621
11    0.352808
47    0.301589
14    0.211456
65    0.205383
1     0.201820
25    0.201765
2     0.194992
58    0.185667
Name: contribution, dtype: float64}"
1.0,278.0,2.0,"{'item': 31      25
42     190
10     370
5      746
79     136
17     364
9      433
77     608
71     399
44    1104
Name: item, dtype: int64, 'contribution': 31    0.310100
42    0.304432
10    0.263331
5     0.250804
79    0.214805
17    0.209514
9     0.187657
77    0.186294
71    0.185393
44    0.182905
Name: contribution, dtype: float64}"
1.0,97.0,3.0,"{'item': 46    755
39     87
43    246
33    416
7     151
55    149
1     476
25    140
31     25
26     43
Name: item, dtype: int64, 'contribution': 46    0.346712
39    0.320598
43    0.262979
33    0.260950
7     0.247886
55    0.213215
1     0.188142
25    0.173225
31    0.162971
26    0.162859
Name: contribution, dtype: float64}"
1.0,98.0,4.0,"{'item': 13     51
74     18
15    280
26     43
77    608
79    136
12    516
11    970
46    755
27    443
Name: item, dtype: int64, 'contribution': 13    0.381962
74    0.333915
15    0.332018
26    0.273925
77    0.267271
79    0.236299
12    0.227691
11    0.225776
46    0.217748
27    0.214739
Name: contribution, dtype: float64}"
1.0,73.0,5.0,"{'item': 68    890
27    443
81    446
2     305
57    298
42    190
78    172
63    153
7     151
71    399
Name: item, dtype: int64, 'contribution': 68    0.349927
27    0.259067
81    0.255300
2     0.247886
57    0.225295
42    0.207941
78    0.191920
63    0.185603
7     0.185109
71    0.166812
Name: contribution, dtype: float64}"
1.0,268.0,6.0,"{'item': 68     890
6      800
46     755
73    1193
13      51
77     608
59     801
75     145
29     864
3      577
Name: item, dtype: int64, 'contribution': 68    0.247493
6     0.219452
46    0.205228
73    0.193150
13    0.189529
77    0.180428
59    0.174103
75    0.158937
29    0.133096
3     0.125452
Name: contribution, dtype: float64}"
1.0,79.0,7.0,"{'item': 78    172
74     18
46    755
42    190
81    446
23    197
60    543
75    145
77    608
70    297
Name: item, dtype: int64, 'contribution': 78    0.273648
74    0.209492
46    0.186674
42    0.182317
81    0.175413
23    0.172259
60    0.165824
75    0.152669
77    0.151230
70    0.142252
Name: contribution, dtype: float64}"
1.0,862.0,8.0,"{'item': 16    204
27    443
50    426
12    516
46    755
52     31
25    140
47    228
71    399
32     85
Name: item, dtype: int64, 'contribution': 16    0.380662
27    0.274639
50    0.233856
12    0.232869
46    0.222870
52    0.221544
25    0.198172
47    0.189228
71    0.184895
32    0.181077
Name: contribution, dtype: float64}"
1.0,102.0,9.0,"{'item': 23     197
59     801
46     755
75     145
44    1104
11     970
26      43
51     559
53     216
3      577
Name: item, dtype: int64, 'contribution': 23    0.346946
59    0.333718
46    0.326463
75    0.312589
44    0.311051
11    0.289896
26    0.260695
51    0.241092
53    0.213927
3     0.199621
Name: contribution, dtype: float64}"
