userId,itemId,rank,explanations,expl
0.0,1255.0,1.0,{},0.0
0.0,569.0,2.0,{5: 1},0.1786
0.0,174.0,3.0,{5: 1},0.0
0.0,180.0,4.0,"{3: 1, 4: 2, 5: 1}",0.4324
0.0,200.0,5.0,{5: 3},0.3
0.0,36.0,6.0,{5: 5},0.4167
0.0,66.0,7.0,"{4: 1, 5: 2}",0.1957
0.0,277.0,8.0,"{4: 1, 5: 1}",0.2045
0.0,1271.0,9.0,{},0.0
0.0,130.0,10.0,{4: 1},0.0816
1.0,1255.0,1.0,{},0.0
1.0,569.0,2.0,"{4: 1, 5: 1}",0.3214
1.0,936.0,3.0,{},0.0
1.0,66.0,4.0,"{2: 1, 3: 2, 4: 2, 5: 1}",0.413
1.0,347.0,5.0,"{3: 1, 4: 3, 5: 2}",0.5102
1.0,408.0,6.0,{5: 7},0.7143
1.0,180.0,7.0,{},0.0
1.0,1271.0,8.0,{},0.0
1.0,62.0,9.0,"{3: 1, 4: 2}",0.234
1.0,230.0,10.0,"{4: 1, 5: 1}",0.1
2.0,1255.0,1.0,{},0.0
2.0,216.0,2.0,"{1: 1, 2: 1, 3: 3, 4: 3, 5: 1}",0.52
2.0,118.0,3.0,"{1: 1, 2: 1, 5: 1}",0.102
2.0,240.0,4.0,"{2: 1, 5: 1}",0.0
2.0,254.0,5.0,"{3: 1, 4: 1, 5: 1}",0.25
2.0,200.0,6.0,"{3: 1, 4: 1, 5: 1}",0.24
2.0,174.0,7.0,"{4: 2, 5: 2}",0.2653
2.0,180.0,8.0,"{4: 2, 5: 1}",0.3514
2.0,36.0,9.0,"{3: 1, 5: 1}",0.0625
2.0,49.0,10.0,"{2: 1, 3: 1, 4: 1, 5: 4}",0.3878
3.0,1255.0,1.0,{},0.0
3.0,174.0,2.0,"{4: 2, 5: 4}",0.4694
3.0,180.0,3.0,{4: 1},0.1081
3.0,496.0,4.0,"{3: 1, 4: 2, 5: 1}",0.2391
3.0,36.0,5.0,{4: 2},0.1667
3.0,133.0,6.0,"{4: 2, 5: 1}",0.2889
3.0,260.0,7.0,"{4: 2, 5: 4}",0.5833
3.0,5.0,8.0,"{4: 4, 5: 2}",0.4681
3.0,240.0,9.0,"{3: 1, 4: 3, 5: 3}",0.5
3.0,512.0,10.0,"{4: 1, 5: 1}",0.2045
4.0,1255.0,1.0,{},0.0
4.0,569.0,2.0,{},0.0
4.0,347.0,3.0,{},0.0
4.0,101.0,4.0,{},0.0
4.0,180.0,5.0,{},0.0
4.0,277.0,6.0,{},0.0
4.0,200.0,7.0,{},0.0
4.0,161.0,8.0,{},0.0
4.0,408.0,9.0,{},0.0
4.0,1271.0,10.0,{},0.0
5.0,1255.0,1.0,{},0.0
5.0,569.0,2.0,{5: 1},0.1786
5.0,180.0,3.0,{4: 1},0.1081
5.0,66.0,4.0,"{4: 4, 5: 4}",0.3696
5.0,277.0,5.0,"{4: 2, 5: 1}",0.2955
5.0,130.0,6.0,{3: 1},0.0612
5.0,936.0,7.0,"{3: 1, 5: 5}",0.6667
5.0,1271.0,8.0,{},0.0
5.0,488.0,9.0,"{3: 2, 4: 5, 5: 2}",0.8649
5.0,635.0,10.0,"{4: 3, 5: 1}",0.4857
6.0,1255.0,1.0,{},0.0
6.0,5.0,2.0,"{4: 5, 5: 1}",0.4468
6.0,492.0,3.0,"{3: 3, 4: 1, 5: 2}",0.5111
6.0,260.0,4.0,"{3: 1, 4: 2, 5: 1}",0.3333
6.0,180.0,5.0,"{3: 1, 4: 2, 5: 1}",0.2973
6.0,174.0,6.0,"{3: 3, 4: 1, 5: 3}",0.4898
6.0,118.0,7.0,"{2: 1, 4: 1, 5: 1}",0.0816
6.0,512.0,8.0,{4: 2},0.0909
6.0,330.0,9.0,"{3: 2, 4: 1}",0.3448
6.0,695.0,10.0,"{1: 1, 3: 1, 4: 1, 5: 4}",0.6136
7.0,1255.0,1.0,{},0.0
7.0,569.0,2.0,"{4: 1, 5: 1}",0.3214
7.0,101.0,3.0,"{3: 1, 4: 4, 5: 5}",0.88
7.0,66.0,4.0,"{1: 1, 4: 1, 5: 3}",0.1957
7.0,180.0,5.0,{},0.0
7.0,36.0,6.0,"{3: 1, 4: 2}",0.1458
7.0,62.0,7.0,"{2: 1, 4: 2, 5: 3}",0.4894
7.0,161.0,8.0,"{3: 1, 4: 1, 5: 8}",0.94
7.0,936.0,9.0,"{3: 2, 4: 1, 5: 2}",0.4762
7.0,277.0,10.0,{5: 1},0.1136
8.0,1255.0,1.0,{5: 2},0.5556
8.0,36.0,2.0,"{3: 1, 4: 4, 5: 4}",0.8125
8.0,1047.0,3.0,{4: 1},0.1739
8.0,5.0,4.0,"{3: 1, 4: 2, 5: 5}",0.6596
8.0,1271.0,5.0,{4: 2},0.4444
8.0,936.0,6.0,"{4: 5, 5: 1}",0.5
8.0,330.0,7.0,"{3: 2, 4: 2, 5: 1}",0.5172
8.0,673.0,8.0,{4: 2},0.2963
8.0,541.0,9.0,"{3: 1, 4: 3, 5: 1}",0.4545
8.0,91.0,10.0,"{3: 2, 4: 4, 5: 2}",0.4792
9.0,1255.0,1.0,{4: 1},0.4444
9.0,496.0,2.0,"{3: 1, 4: 3, 5: 5}",0.6739
9.0,5.0,3.0,"{4: 4, 5: 5}",0.8723
9.0,36.0,4.0,"{3: 1, 4: 2, 5: 7}",0.8542
9.0,695.0,5.0,"{3: 1, 4: 3, 5: 4}",0.7045
9.0,273.0,6.0,"{3: 1, 4: 2, 5: 6}",0.8723
9.0,1047.0,7.0,"{3: 1, 4: 2, 5: 1}",0.6957
9.0,330.0,8.0,"{3: 4, 4: 1}",0.4138
9.0,492.0,9.0,"{3: 1, 4: 4, 5: 4}",0.6444
9.0,697.0,10.0,"{3: 1, 4: 4, 5: 1}",0.5714
10.0,118.0,1.0,"{2: 2, 3: 1, 4: 2, 5: 3}",0.449
10.0,49.0,2.0,"{3: 1, 4: 2, 5: 7}",0.8367
10.0,1255.0,3.0,{},0.0
10.0,180.0,4.0,"{3: 1, 4: 1, 5: 1}",0.3243
10.0,36.0,5.0,"{4: 3, 5: 2}",0.4583
10.0,496.0,6.0,"{3: 1, 4: 2}",0.2391
10.0,753.0,7.0,{4: 2},0.2286
10.0,359.0,8.0,"{4: 1, 5: 1}",0.1915
10.0,277.0,9.0,"{3: 1, 4: 1, 5: 4}",0.6136
10.0,66.0,10.0,"{4: 2, 5: 3}",0.3043
11.0,1255.0,1.0,{},0.0
11.0,569.0,2.0,{4: 1},0.1429
11.0,200.0,3.0,"{4: 1, 5: 8}",0.88
11.0,174.0,4.0,{5: 5},0.4082
11.0,36.0,5.0,"{3: 1, 4: 2, 5: 4}",0.4375
11.0,1271.0,6.0,{4: 1},0.4444
11.0,66.0,7.0,"{3: 1, 4: 2, 5: 3}",0.5652
11.0,936.0,8.0,"{4: 3, 5: 1}",0.4048
11.0,488.0,9.0,"{4: 1, 5: 1}",0.2432
11.0,991.0,10.0,{3: 1},0.0
12.0,1255.0,1.0,{},0.0
12.0,569.0,2.0,{},0.0
12.0,62.0,3.0,"{4: 2, 5: 1}",0.2766
12.0,180.0,4.0,"{4: 1, 5: 1}",0.2432
12.0,66.0,5.0,"{4: 1, 5: 1}",0.1957
12.0,635.0,6.0,{4: 3},0.2286
12.0,36.0,7.0,"{4: 1, 5: 1}",0.1875
12.0,936.0,8.0,{4: 3},0.2857
12.0,488.0,9.0,{},0.0
12.0,1271.0,10.0,{},0.0
13.0,1255.0,1.0,{},0.0
13.0,180.0,2.0,{4: 3},0.3243
13.0,36.0,3.0,"{4: 3, 5: 5}",0.4583
13.0,569.0,4.0,{},0.0
13.0,200.0,5.0,"{4: 1, 5: 3}",0.38
13.0,66.0,6.0,"{4: 5, 5: 3}",0.5652
13.0,254.0,7.0,"{4: 3, 5: 6}",0.875
13.0,277.0,8.0,"{4: 1, 5: 1}",0.2045
13.0,62.0,9.0,"{3: 1, 4: 3, 5: 2}",0.5319
13.0,1271.0,10.0,{},0.0
14.0,347.0,1.0,"{3: 1, 4: 3, 5: 3}",0.5102
14.0,101.0,2.0,"{2: 1, 4: 1, 5: 6}",0.58
14.0,456.0,3.0,"{4: 6, 5: 2}",0.6977
14.0,291.0,4.0,"{3: 2, 4: 4, 5: 1}",0.3889
14.0,156.0,5.0,"{4: 5, 5: 3}",0.6458
14.0,6.0,6.0,"{3: 1, 4: 1, 5: 5}",0.5333
14.0,56.0,7.0,"{3: 1, 4: 1, 5: 3}",0.4091
14.0,161.0,8.0,"{3: 1, 4: 3, 5: 5}",0.72
14.0,1255.0,9.0,{},0.0
14.0,52.0,10.0,"{4: 6, 5: 2}",0.6939
15.0,118.0,1.0,"{2: 1, 3: 2, 4: 3, 5: 3}",0.5918
15.0,1255.0,2.0,{},0.0
15.0,174.0,3.0,"{4: 1, 5: 6}",0.4082
15.0,571.0,4.0,"{3: 1, 4: 1, 5: 7}",0.8936
15.0,36.0,5.0,"{3: 1, 4: 3, 5: 3}",0.5208
15.0,273.0,6.0,"{4: 1, 5: 2}",0.2979
15.0,62.0,7.0,"{4: 1, 5: 1}",0.1915
15.0,130.0,8.0,"{4: 1, 5: 2}",0.2041
15.0,753.0,9.0,{4: 1},0.1143
15.0,635.0,10.0,"{4: 1, 5: 1}",0.2571
16.0,1255.0,1.0,{},0.0
16.0,174.0,2.0,"{4: 1, 5: 4}",0.4082
16.0,180.0,3.0,{},0.0
16.0,36.0,4.0,"{3: 1, 4: 1, 5: 2}",0.25
16.0,496.0,5.0,"{2: 1, 3: 1, 4: 2, 5: 1}",0.2609
16.0,260.0,6.0,"{3: 1, 4: 1, 5: 4}",0.4792
16.0,569.0,7.0,"{3: 1, 5: 1}",0.2857
16.0,5.0,8.0,{5: 5},0.5319
16.0,277.0,9.0,"{1: 1, 4: 1, 5: 1}",0.2045
16.0,1271.0,10.0,{},0.0
17.0,1255.0,1.0,{},0.0
17.0,36.0,2.0,"{4: 4, 5: 4}",0.3542
17.0,180.0,3.0,{},0.0
17.0,260.0,4.0,"{3: 1, 4: 3, 5: 6}",0.75
17.0,569.0,5.0,{5: 2},0.3571
17.0,277.0,6.0,{5: 1},0.1136
