userId,itemId,rank
0.0,1255.0,1.0
0.0,569.0,2.0
0.0,174.0,3.0
0.0,180.0,4.0
0.0,200.0,5.0
0.0,36.0,6.0
0.0,66.0,7.0
0.0,277.0,8.0
0.0,1271.0,9.0
0.0,130.0,10.0
1.0,1255.0,1.0
1.0,569.0,2.0
1.0,936.0,3.0
1.0,66.0,4.0
1.0,347.0,5.0
1.0,408.0,6.0
1.0,180.0,7.0
1.0,1271.0,8.0
1.0,62.0,9.0
1.0,230.0,10.0
2.0,1255.0,1.0
2.0,216.0,2.0
2.0,118.0,3.0
2.0,240.0,4.0
2.0,254.0,5.0
2.0,200.0,6.0
2.0,174.0,7.0
2.0,180.0,8.0
2.0,36.0,9.0
2.0,49.0,10.0
3.0,1255.0,1.0
3.0,174.0,2.0
3.0,180.0,3.0
3.0,496.0,4.0
3.0,36.0,5.0
3.0,133.0,6.0
3.0,260.0,7.0
3.0,5.0,8.0
3.0,240.0,9.0
3.0,512.0,10.0
4.0,1255.0,1.0
4.0,569.0,2.0
4.0,347.0,3.0
4.0,101.0,4.0
4.0,180.0,5.0
4.0,277.0,6.0
4.0,200.0,7.0
4.0,161.0,8.0
4.0,408.0,9.0
4.0,1271.0,10.0
5.0,1255.0,1.0
5.0,569.0,2.0
5.0,180.0,3.0
5.0,66.0,4.0
5.0,277.0,5.0
5.0,130.0,6.0
5.0,936.0,7.0
5.0,1271.0,8.0
5.0,488.0,9.0
5.0,635.0,10.0
6.0,1255.0,1.0
6.0,5.0,2.0
6.0,492.0,3.0
6.0,260.0,4.0
6.0,180.0,5.0
6.0,174.0,6.0
6.0,118.0,7.0
6.0,512.0,8.0
6.0,330.0,9.0
6.0,695.0,10.0
7.0,1255.0,1.0
7.0,569.0,2.0
7.0,101.0,3.0
7.0,66.0,4.0
7.0,180.0,5.0
7.0,36.0,6.0
7.0,62.0,7.0
7.0,161.0,8.0
7.0,936.0,9.0
7.0,277.0,10.0
8.0,1255.0,1.0
8.0,36.0,2.0
8.0,1047.0,3.0
8.0,5.0,4.0
8.0,1271.0,5.0
8.0,936.0,6.0
8.0,330.0,7.0
8.0,673.0,8.0
8.0,541.0,9.0
8.0,91.0,10.0
9.0,1255.0,1.0
