userId,itemId,Crime,Children's,Adventure,Musical,unknown,Action,Animation,Comedy,local_prediction,predicted_value,R2_Score,intercept,Sci-Fi,Drama,Romance,Documentary,Western,Thriller,Horror,Mystery,War,Film-Noir,Fantasy
848,309,-0.198,0.186,0.173,0.172,-0.163,0.152,0.107,-0.044,4.693,4.933,0.093,3.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
694,1225,-0.008,-0.352,-0.007,0.064,0.0,-0.359,0.147,-0.297,3.042,2.97,0.201,3.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,288,0.089,-0.628,-0.048,0.0,0.0,-0.596,0.463,-0.294,3.578,3.836,0.155,3.194,-0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,257,0.0,-0.677,-0.002,0.0,0.0,-0.355,0.295,-0.365,4.69,4.671,0.466,3.418,0.0,0.742,0.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,562,0.012,-0.3,-0.086,0.0,0.0,-0.456,0.202,-0.246,3.58,3.57,0.152,3.458,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,1211,0.205,-0.923,-0.016,0.0,0.0,-0.549,0.557,-0.166,4.157,4.37,0.228,3.433,0.0,0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,32,0.234,-0.458,-0.205,0.0,0.0,-0.412,0.554,-0.195,3.63,3.715,0.22,3.269,0.0,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,54,-0.086,-0.534,0.063,0.0,0.0,-0.56,0.255,-0.16,2.597,2.579,0.142,3.13,0.0,0.0,0.0,0.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,374,0.0,-0.248,0.063,0.0,0.0,-0.071,0.342,-0.025,3.76,3.671,0.161,3.357,0.0,0.309,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,587,0.037,-0.405,0.031,0.0,0.0,-0.25,0.436,-0.079,3.455,3.539,0.117,3.183,0.0,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,654,0.0,-0.142,0.149,0.0,0.0,-0.097,0.443,0.044,3.882,3.921,0.13,3.301,0.0,0.209,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,318,-0.051,-0.28,-0.011,0.0,0.0,-0.121,0.148,-0.251,3.993,4.064,0.265,3.55,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,618,0.0,-0.482,0.057,0.0,0.0,-0.35,0.541,-0.183,3.779,3.977,0.2,3.149,0.0,0.32,0.0,0.0,0.264,0.0,0.0,0.0,0.0,0.0,0.0
710,153,0.0,-0.638,-0.105,0.0,0.0,-0.161,0.496,-0.277,3.445,3.645,0.162,3.218,-0.032,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0
530,622,-0.141,-0.132,0.017,0.0,0.0,-0.099,0.062,-0.233,3.639,3.919,0.052,3.201,0.0,0.0,0.0,0.0,0.212,0.0,0.0,0.0,0.0,0.0,0.0
875,1277,0.154,-0.528,-0.027,0.0,0.0,-0.187,0.429,-0.235,3.509,3.375,0.187,3.59,0.0,0.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,568,0.0,-0.551,-0.086,0.34,0.0,-0.659,0.26,-0.327,3.688,3.76,0.183,3.372,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
