userId,itemId,rank
0,200,1.0
0,239,2.0
0,99,3.0
0,66,4.0
0,31,5.0
0,174,6.0
0,100,7.0
0,273,8.0
0,240,9.0
0,185,10.0
1,200,1.0
1,99,2.0
1,239,3.0
1,220,4.0
1,719,5.0
1,130,6.0
1,593,7.0
1,408,8.0
1,283,9.0
1,693,10.0
2,256,1.0
2,118,2.0
2,216,3.0
2,297,4.0
2,5,5.0
2,180,6.0
2,492,7.0
2,240,8.0
2,356,9.0
2,145,10.0
3,612,1.0
3,856,2.0
3,67,3.0
3,174,4.0
3,1239,5.0
3,71,6.0
3,1255,7.0
3,133,8.0
3,512,9.0
3,45,10.0
4,102,1.0
4,101,2.0
4,156,3.0
4,347,4.0
4,112,5.0
4,357,6.0
4,22,7.0
4,408,8.0
4,6,9.0
4,471,10.0
5,239,1.0
5,321,2.0
5,277,3.0
5,719,4.0
5,612,5.0
5,58,6.0
5,78,7.0
5,180,8.0
5,297,9.0
5,630,10.0
6,492,1.0
6,288,2.0
6,1098,3.0
6,5,4.0
6,180,5.0
6,118,6.0
6,351,7.0
6,199,8.0
6,571,9.0
6,697,10.0
7,99,1.0
7,174,2.0
7,101,3.0
7,220,4.0
7,238,5.0
7,91,6.0
7,57,7.0
7,241,8.0
7,185,9.0
7,660,10.0
8,873,1.0
8,612,2.0
8,856,3.0
8,1255,4.0
8,71,5.0
8,697,6.0
8,522,7.0
8,200,8.0
8,148,9.0
8,45,10.0
9,496,1.0
9,5,2.0
9,660,3.0
9,36,4.0
9,1072,5.0
9,673,6.0
9,1255,7.0
9,611,8.0
9,100,9.0
9,723,10.0
10,277,1.0
10,180,2.0
10,357,3.0
10,240,4.0
10,189,5.0
10,359,6.0
10,1255,7.0
10,185,8.0
10,697,9.0
10,635,10.0
11,200,1.0
11,482,2.0
11,110,3.0
11,36,4.0
11,58,5.0
11,188,6.0
11,185,7.0
11,612,8.0
11,239,9.0
11,725,10.0
12,101,1.0
12,102,2.0
12,52,3.0
12,719,4.0
12,231,5.0
12,239,6.0
12,1436,7.0
12,22,8.0
12,230,9.0
12,297,10.0
13,174,1.0
13,189,2.0
13,239,3.0
13,200,4.0
13,36,5.0
13,1255,6.0
13,185,7.0
13,297,8.0
13,66,9.0
13,277,10.0
14,101,1.0
14,719,2.0
14,99,3.0
14,408,4.0
14,191,5.0
14,347,6.0
14,56,7.0
14,239,8.0
14,52,9.0
14,1024,10.0
15,357,1.0
15,240,2.0
15,538,3.0
15,118,4.0
15,185,5.0
15,730,6.0
15,661,7.0
15,273,8.0
15,239,9.0
15,571,10.0
16,174,1.0
16,1255,2.0
16,330,3.0
16,260,4.0
16,67,5.0
16,522,6.0
16,180,7.0
16,508,8.0
16,222,9.0
16,502,10.0
17,612,1.0
17,31,2.0
17,180,3.0
17,571,4.0
17,130,5.0
17,506,6.0
17,36,7.0
17,482,8.0
17,277,9.0
17,49,10.0
18,612,1.0
18,180,2.0
18,189,3.0
18,240,4.0
18,571,5.0
18,239,6.0
18,174,7.0
18,277,8.0
18,5,9.0
18,58,10.0
19,174,1.0
19,200,2.0
19,660,3.0
19,273,4.0
19,31,5.0
19,1255,6.0
19,567,7.0
19,538,8.0
19,254,9.0
19,180,10.0
20,200,1.0
20,174,2.0
20,36,3.0
20,31,4.0
20,241,5.0
20,488,6.0
20,99,7.0
20,66,8.0
20,623,9.0
20,856,10.0
21,174,1.0
21,200,2.0
21,357,3.0
21,239,4.0
21,482,5.0
21,161,6.0
21,856,7.0
21,58,8.0
21,185,9.0
21,91,10.0
22,239,1.0
22,1255,2.0
22,71,3.0
22,130,4.0
22,660,5.0
22,240,6.0
22,185,7.0
22,856,8.0
22,522,9.0
22,508,10.0
23,612,1.0
23,1239,2.0
23,321,3.0
23,189,4.0
23,236,5.0
23,78,6.0
23,522,7.0
23,1098,8.0
23,1135,9.0
23,5,10.0
24,200,1.0
24,693,2.0
24,612,3.0
24,130,4.0
24,719,5.0
24,630,6.0
