userId,itemId,rank,explanations,explanation_score,explanations_as_list,n_explanations
1.0,94.0,7.0,"{216, 297, 156, 31}","[0.3636, 0.3256, 0.3192, 0.3942]","[216, 297, 156, 31]",4
5.0,9.0,10.0,{357},[0.1867],[357],1
7.0,740.0,9.0,{357},[0.1867],[357],1
20.0,622.0,4.0,"{471, 356, 101, 102, 231, 357, 408, 423, 367, 49, 403, 52, 53, 247, 216, 347}","[0.2517, 0.2917, 0.4249, 0.386, 0.391, 0.3446, 0.4256, 0.4255, 0.4478, 0.4654, 0.301, 0.4042, 0.268, 0.4067, 0.4138, 0.3865]","[471, 356, 101, 102, 231, 357, 408, 423, 367, 49, 403, 52, 53, 247, 216, 347]",16
21.0,94.0,3.0,"{102, 247}","[0.3571, 0.3323]","[102, 247]",2
26.0,5.0,10.0,"{256, 24, 156, 29, 31, 288, 161, 34, 179, 52, 307, 311, 189, 321, 342, 216, 217, 347, 221, 356, 101, 102, 231, 357, 112, 247}","[0.2438, 0.4, 0.3722, 0.4703, 0.2895, 0.3834, 0.391, 0.427, 0.3455, 0.3656, 0.3815, 0.2787, 0.3588, 0.4458, 0.4558, 0.3967, 0.4006, 0.4313, 0.5243, 0.4658, 0.4274, 0.3608, 0.5269, 0.3603, 0.4516, 0.2762]","[256, 24, 156, 29, 31, 288, 161, 34, 179, 52, 307, 311, 189, 321, 342, 216, 217, 347, 221, 356, 101, 102, 231, 357, 112, 247]",26
28.0,629.0,3.0,"{357, 101, 49, 216, 156}","[0.218, 0.3161, 0.3522, 0.3192, 0.2381]","[357, 101, 49, 216, 156]",5
31.0,1016.0,6.0,{31},[0.2699],[31],1
31.0,629.0,8.0,"{408, 161, 239, 31}","[0.3182, 0.3384, 0.3906, 0.3881]","[408, 161, 239, 31]",4
35.0,22.0,4.0,"{103, 136, 12, 77, 140, 49, 403, 86, 23, 24, 157, 95}","[0.4417, 0.3908, 0.3695, 0.3191, 0.3496, 0.376, 0.2564, 0.3826, 0.4444, 0.4174, 0.2597, 0.4021]","[103, 136, 12, 77, 140, 49, 403, 86, 23, 24, 157, 95]",12
42.0,623.0,4.0,{357},[0.181],[357],1
46.0,93.0,9.0,"{403, 408, 24, 156, 31, 161, 297, 49, 52, 53, 191, 321, 329, 471, 216, 347, 357, 239, 367, 247}","[0.2709, 0.3636, 0.2764, 0.2851, 0.4421, 0.3621, 0.3776, 0.398, 0.3898, 0.3945, 0.4161, 0.4025, 0.4192, 0.5132, 0.3805, 0.2838, 0.453, 0.2552, 0.3843, 0.4223]","[403, 408, 24, 156, 31, 161, 297, 49, 52, 53, 191, 321, 329, 471, 216, 347, 357, 239, 367, 247]",20
59.0,438.0,5.0,"{216, 31}","[0.2983, 0.2825]","[216, 31]",2
72.0,351.0,6.0,"{49, 31}","[0.2756, 0.2337]","[49, 31]",2
77.0,260.0,4.0,"{289, 321, 217, 101, 102, 357, 361, 78, 112, 49, 53, 311, 216, 57, 156, 29}","[0.3922, 0.2719, 0.4335, 0.3985, 0.589, 0.3834, 0.3609, 0.3783, 0.3654, 0.3531, 0.4337, 0.2336, 0.3871, 0.3471, 0.28, 0.47]","[289, 321, 217, 101, 102, 357, 361, 78, 112, 49, 53, 311, 216, 57, 156, 29]",16
79.0,96.0,10.0,"{357, 103, 49, 209, 52}","[0.2472, 0.2873, 0.3389, 0.273, 0.2724]","[357, 103, 49, 209, 52]",5
91.0,361.0,3.0,"{12, 140, 273, 403, 24, 156, 157, 31, 161, 36, 166, 423, 174, 179, 52, 53, 182, 57, 571, 191, 320, 321, 66, 329, 211, 471, 216, 347, 95, 100, 101, 356, 103, 231, 357, 239, 367, 247, 254}","[0.3067, 0.2759, 0.4688, 0.6043, 0.3224, 0.4506, 0.4465, 0.5026, 0.2263, 0.4889, 0.4145, 0.3423, 0.2812, 0.4618, 0.2294, 0.4169, 0.4577, 0.5092, 0.4498, 0.4545, 0.4276, 0.6323, 0.4237, 0.4298, 0.4219, 0.4193, 0.4387, 0.5243, 0.4537, 0.4124, 0.5439, 0.4141, 0.4931, 0.3257, 0.4495, 0.317, 0.4397, 0.3944, 0.505]","[12, 140, 273, 403, 24, 156, 157, 31, 161, 36, 166, 423, 174, 179, 52, 53, 182, 57, 571, 191, 320, 321, 66, 329, 211, 471, 216, 347, 95, 100, 101, 356, 103, 231, 357, 239, 367, 247, 254]",39
92.0,275.0,8.0,"{161, 191, 101, 357, 112, 52, 118, 247, 31}","[0.304, 0.2412, 0.3109, 0.3596, 0.413, 0.2991, 0.3355, 0.3199, 0.2305]","[161, 191, 101, 357, 112, 52, 118, 247, 31]",9
98.0,299.0,1.0,"{357, 101}","[0.2487, 0.1924]","[357, 101]",2
